frame,x,y
1254,1048.0,815.5
1255,1046.0,813.25
1256,1047.0,813.25
1257,1048.0,812.5
1258,1049.0,813.5
1259,1049.0,817.25
1260,1047.0,819.25
1261,1041.0,822.0
1262,1035.0,821.25
1263,1033.0,820.5
1264,1024.0,820.5
1265,1014.0,819.75
1266,1004.0,819.75
1267,994.0,818.5
1268,987.0,816.75
1269,984.0,815.25
1270,986.0,813.75
1271,989.0,813.0
1272,989.0,809.75
1273,989.0,807.75
1274,989.0,805.75
1275,989.0,805.25
1276,985.0,803.25
1277,980.0,799.5
1278,975.0,797.5
1279,967.0,797.0
1280,958.0,796.25
1281,955.0,796.0
1282,950.0,798.75
1283,945.0,802.25
1284,939.0,803.5
1285,937.0,801.75
1286,937.0,799.5
1287,937.0,799.5
1288,940.0,797.75
1289,941.0,797.5
1290,940.0,796.75
1291,937.0,797.75
1292,935.0,801.0
1293,934.0,802.0
1294,936.0,805.0
1295,936.0,809.25
1296,937.0,812.5
1297,937.0,815.75
1298,942.0,817.5
1299,944.0,817.5
1300,945.0,818.5
1301,959.0,816.5
1302,961.0,816.5
1303,970.0,814.5
1304,987.0,814.25
